"","ID","Lat","Lon","Year","Miss Tmax","Miss Tmin","Miss Prcp","Avg Temp","Avg Tmax","Avg Tmin","ToT Prcp","Max Tmax","Min Tmax","Max Tmin","Min Tmin","Warm Days","Warm Nights","Cold Days","Cold Nights","Max 1-day P","Max 5-day P","Wet Days"
"1895-12-31","USW00023160",32.1314,-110.9553,1895,3,5,1,67.4,83.59,51.21,11.07,108,51,79,14,10.96,10.41,7.67,15.07,1.83,2.83,8.95
"1896-12-31","USW00023160",32.1314,-110.9553,1896,46,36,0,70.11,84.87,55.34,11.39,110,52,81,23,7.12,17.81,5.48,7.12,0.97,1.57,9.18
"1897-12-31","USW00023160",32.1314,-110.9553,1897,4,9,5,66.6,82.31,50.89,9.26,105,50,81,16,1.64,11.51,13.42,18.9,1.52,1.77,7.42
"1898-12-31","USW00023160",32.1314,-110.9553,1898,26,9,0,66.26,81.5,51.02,12.72,108,45,84,17,7.95,13.7,12.6,16.16,1.99,2.57,10.08
"1899-12-31","USW00023160",32.1314,-110.9553,1899,0,0,0,66.41,82.21,50.61,8.38,107,37,86,17,9.04,15.34,10.96,20.82,0.66,1.09,7.11
"1900-12-31","USW00023160",32.1314,-110.9553,1900,0,0,0,67.76,83.84,51.69,7.79,108,49,83,25,13.42,9.86,4.93,15.62,1.27,2.45,5.01
"1901-12-31","USW00023160",32.1314,-110.9553,1901,15,0,1,67.52,84.11,50.92,9.65,108,45,80,10,12.05,10.41,9.32,12.88,0.79,1.61,7.96
"1902-12-31","USW00023160",32.1314,-110.9553,1902,1,1,0,66.92,83.11,50.74,8.59,112,48,85,24,9.32,10.96,12.05,16.71,1.64,1.83,6.92
"1903-12-31","USW00023160",32.1314,-110.9553,1903,3,3,3,66.17,82.58,49.77,8.56,108,44,82,21,10.41,10.14,10.96,17.53,1.42,1.58,6.67
"1904-12-31","USW00023160",32.1314,-110.9553,1904,0,0,0,66.66,82.52,50.8,7.85,107,43,80,15,3.29,7.67,12.33,14.79,0.94,1.6,6.38
"1905-12-31","USW00023160",32.1314,-110.9553,1905,0,1,0,65.04,77.63,52.45,24.17,107,41,80,11,7.12,9.86,26.3,7.67,1.17,2.07,21.14
"1906-12-31","USW00023160",32.1314,-110.9553,1906,0,0,0,67,82.95,51.04,11.75,108,38,80,22,8.77,9.32,13.15,12.05,2.15,3.23,10.19
"1907-12-31","USW00023160",32.1314,-110.9553,1907,0,0,0,67.36,83.15,51.57,14.09,111,48,82,20,4.66,7.4,7.4,10.68,1.85,1.93,11.46
"1908-12-31","USW00023160",32.1314,-110.9553,1908,0,0,0,65.89,82.25,49.52,14.04,108,47,80,22,6.85,7.4,10.14,15.62,1.84,2.43,12.2
"1909-12-31","USW00023160",32.1314,-110.9553,1909,0,0,0,65.82,82.25,49.38,10.21,108,40,80,17,5.21,10.14,12.88,17.53,1.06,2.12,8.68
"1910-12-31","USW00023160",32.1314,-110.9553,1910,0,0,0,68.66,85.85,51.46,9.8,111,37,80,15,13.42,9.04,7.4,13.15,1.82,3.17,8.46
"1911-12-31","USW00023160",32.1314,-110.9553,1911,1,1,0,66.88,82.09,51.66,11.25,107,43,81,16,9.59,10.68,14.25,15.34,1.3,1.92,8.85
"1912-12-31","USW00023160",32.1314,-110.9553,1912,0,1,0,65.02,81.25,48.78,9.84,108,50,84,18,5.75,4.66,11.51,21.1,1.2,1.79,9
"1913-12-31","USW00023160",32.1314,-110.9553,1913,0,0,0,65.28,80.75,49.82,9.32,109,36,82,6,4.66,7.4,16.71,14.79,0.75,1.25,6.48
"1914-12-31","USW00023160",32.1314,-110.9553,1914,1,1,1,67.66,82.38,52.94,19.9,107,50,85,22,5.21,10.14,11.23,10.68,1.35,3.85,17.11
"1915-12-31","USW00023160",32.1314,-110.9553,1915,30,98,0,67.42,81.54,53.3,12.62,110,45,86,19,11.78,12.88,16.44,7.95,1.4,1.55,10.6
"1916-12-31","USW00023160",32.1314,-110.9553,1916,1,2,1,66.66,83.14,50.18,13.15,107,43,82,15,7.67,7.12,9.86,15.07,2.63,3.34,10.21
"1917-12-31","USW00023160",32.1314,-110.9553,1917,1,1,0,66.36,83.86,48.85,10.7,110,49,80,22,10.96,10.41,8.77,23.29,1.4,1.61,8.82
"1918-12-31","USW00023160",32.1314,-110.9553,1918,2,1,0,67.31,82.64,51.97,9.12,110,43,83,18,10.68,9.59,13.7,15.89,0.74,1.07,6.91
"1919-12-31","USW00023160",32.1314,-110.9553,1919,0,0,0,65.7,81.08,50.32,18.01,111,43,83,20,6.85,8.49,12.88,18.08,1.9,3.17,15.83
"1920-12-31","USW00023160",32.1314,-110.9553,1920,5,5,5,65.54,81.93,49.16,10.72,111,47,80,19,9.04,7.4,11.23,15.34,1.05,1.36,8.48
"1921-12-31","USW00023160",32.1314,-110.9553,1921,0,0,0,67.02,83.45,50.59,13.78,109,48,80,19,5.75,6.58,7.95,12.6,2.12,3.37,11.39
"1922-12-31","USW00023160",32.1314,-110.9553,1922,0,0,0,66.7,83.01,50.38,9.39,111,48,78,17,11.78,9.32,10.14,20.27,1.02,1.3,6.68
