ADM1_EN,ADM1_ZH,ADM1_PCODE,ADM0_EN,ADM0_ZH,ADM0_PCODE
Shaanxi Province,???,CN061,China,??,CN
Shanghai Municipality,???,CN031,China,??,CN
Chongqing Municipality,???,CN050,China,??,CN
Zhejiang Province,???,CN033,China,??,CN
Jiangxi Province,???,CN036,China,??,CN
Yunnan Province,???,CN053,China,??,CN
Shandong Province,???,CN037,China,??,CN
Liaoning Province,???,CN021,China,??,CN
Tibet Autonomous Region,?????,CN054,China,??,CN
Gansu province,???,CN062,China,??,CN
Hong Kong Special Administrative Region,???????,CN081,China,??,CN
Qinghai Province,???,CN063,China,??,CN
Beijing Municipality,???,CN011,China,??,CN
Macao Special Administrative Region,???????,CN082,China,??,CN
Inner Mongolia Autonomous Region,??????,CN015,China,??,CN
Hubei Province,???,CN042,China,??,CN
Anhui Province,???,CN034,China,??,CN
Guizhou Province,???,CN052,China,??,CN
Ningxia Hui Autonomous Region,???????,CN064,China,??,CN
Jiangsu Province,???,CN032,China,??,CN
Xinjiang Uygur Autonomous Region,????????,CN065,China,??,CN
Shanxi Province,???,CN014,China,??,CN
Hunan Province,???,CN043,China,??,CN
Sichuan Province,???,CN051,China,??,CN
Guangxi Zhuang Autonomous Region,???????,CN045,China,??,CN
Jilin Province,???,CN022,China,??,CN
Taiwan Province,???,CN071,China,??,CN
Hebei Province,???,CN013,China,??,CN
Tianjin Municipality,???,CN012,China,??,CN
Guangdong Province,???,CN044,China,??,CN
Fujian Province,???,CN035,China,??,CN
Heilongjiang Province,????,CN023,China,??,CN
Henan Province,???,CN041,China,??,CN
Hainan Province,???,CN046,China,??,CN
