X,Y,FID,POINAME,POITYPE,POILABEL,POIFEATTYPE,ISEXTANT,XYACCURACY,MAPMETHOD,MAPSOURCE,SOURCESCALE,SOURCEDATE,PUBLICDISPLAY,DATAACCESS,UNITCODE,UNITNAME,REGIONCODE,LOCATIONID,ASSETID,FEATUREID,GEOMETRYID,NOTES,GlobalID
-110.720841799,43.752165,1,Parking,Parking,Parking,Vicinity point,True,,,,,,Public Map Display,Unrestricted,GRTE,Grand Teton National Park,IMR,,,{98A08FD1-E733-43BF-8E2E-8CA67CA01535},{D946E3C7-9D7F-4F58-8656-8F1F45D467FD},,{C50BB8CD-05EF-4315-AE9B-28BB8E7DD8A6}
-110.6313033,43.6954976,2,Parking,Parking,Parking,Vicinity point,True,,,,,,Public Map Display,Unrestricted,GRTE,Grand Teton National Park,IMR,,,{40F75747-4B73-4154-9AAA-E12F48B0304F},{296ADD28-2754-4CCA-B74D-883184062680},,{10ED76D9-B566-427C-9950-1AA3689E78C7}
-110.723729201,43.7510089,3,Parking,Parking,Parking,Vicinity point,True,,,,,,Public Map Display,Unrestricted,GRTE,Grand Teton National Park,IMR,,,{02729820-A02B-4EEF-A5CC-736AD7D1ACE2},{1A3D842B-2384-4398-8B53-E3B33E2D88BA},,{7F1F42DF-39FC-49D4-9948-0121D5884425}
-110.7304,43.786259,4,String Lake Canoe Launch Parking,Parking,String Lake Canoe Launch Parking,Vicinity point,True,,,,,,Public Map Display,Unrestricted,GRTE,Grand Teton National Park,IMR,,,{EF2AE63E-F3FF-4CAB-9E31-8811ECBCAFE9},{2BE055F3-8CEE-497E-A1EF-4536D12A36FE},,{C2E8BA6A-DF30-4DB9-88B3-CCE16EF5F806}
-110.781258501,43.6557813,5,Parking,Parking,Parking,Vicinity point,True,,,,,,Public Map Display,Unrestricted,GRTE,Grand Teton National Park,IMR,,,{FE404640-FB87-42A2-8E18-609E6BAB52FC},{066B9390-4113-41CA-962A-C85DDB7601E6},,{824D03FF-5647-4CA5-90EC-010F354E48A2}
-110.7249586,43.7493393,6,Parking,Parking,Parking,Vicinity point,True,,,,,,Public Map Display,Unrestricted,GRTE,Grand Teton National Park,IMR,,,{0ED8D0E5-E445-42EE-9EE6-008F7BF4FBC1},{114821D8-BC89-4B50-AD29-335FA1F39106},,{BDCBFDE8-F994-4688-96F6-598A00062456}
-110.714287,43.6599185,7,Parking,Parking,Parking,Vicinity point,True,,,,,,Public Map Display,Unrestricted,GRTE,Grand Teton National Park,IMR,,,{8A91333A-397E-4B24-A69F-EBA58CEC191D},{579D989C-5D0E-4560-84DA-F64385A0F0B4},,{E137BF13-4277-4861-8E7F-67074751D542}
-110.7308069,43.788428,8,Leigh Lake Trailhead Parking,Parking,Leigh Lake Trailhead Parking,Vicinity point,True,,,,,,Public Map Display,Unrestricted,GRTE,Grand Teton National Park,IMR,,,{8FA38791-E895-4E65-A151-73A4AF3D8A7C},{8DDCEB3B-6C69-40F1-95FD-4AAD15DD3238},,{323FC841-2B28-4850-B71C-98A86D814BB6}
-110.7353905,43.6026826,9,Parking,Parking,Parking,Vicinity point,True,,,,,,Public Map Display,Unrestricted,GRTE,Grand Teton National Park,IMR,,,{A7B93F45-B669-44DD-A460-8364ADE3D44F},{6384E977-A805-452E-9BA5-5B58F86E1D2A},,{3C3D6A46-1B3F-407E-A005-9D7F2BC4B8C9}
-110.7379006,43.6541512,10,Parking,Parking,Parking,Vicinity point,True,,,,,,Public Map Display,Unrestricted,GRTE,Grand Teton National Park,IMR,,,{10348E36-65C2-4EB3-8422-AC206095ABA4},{F092E94C-1D9F-4456-8584-727FB07097E6},,{ED3BE303-9CF8-4D7F-8745-12F07D4B3AF4}
